,observation_hour,speed,rpm,acceleration,throttle_position,engine_temperature,engine_load_value,heart_rate,current_weather,visibility,precipitation,accidents_onsite,design_speed,accidents_time,risk_level
1766,0.1666666666666669,0.0,0.2030364831180602,0.5015290519877676,0.1415220293724966,0.4838709677419355,0.2439759036144578,0.1935483870967741,0.0666666666666666,0.2480620155038759,0.0625,0.3661417322834646,0.0,0.1764705882352941,2
1813,0.1666666666666669,0.1007751937984496,0.4466349422161795,0.7966360856269113,0.2296395193591455,0.5483870967741935,0.2640562248995984,0.2903225806451613,0.0666666666666666,0.2480620155038759,0.0625,0.3700787401574803,0.0,0.1764705882352941,2
1828,0.1666666666666669,0.0,0.2030364831180602,0.6529051987767585,0.130841121495327,0.5483870967741935,0.2640562248995984,0.2741935483870968,0.0666666666666666,0.2480620155038759,0.0625,0.374015748031496,0.0,0.1764705882352941,2
1834,0.1666666666666669,0.0077519379844961,0.3992748697031498,0.6529051987767585,0.2149532710280373,0.5483870967741935,0.2640562248995984,0.2258064516129031,0.0666666666666666,0.2480620155038759,0.0625,0.374015748031496,0.0,0.1764705882352941,2
1837,0.1666666666666669,0.0,0.3537276229322456,0.6238532110091743,0.3457943925233644,0.5483870967741935,0.2640562248995984,0.2741935483870968,0.0666666666666666,0.2480620155038759,0.0625,0.374015748031496,0.0,0.1764705882352941,2
1866,0.1666666666666669,0.2325581395348837,0.5744391570360299,0.6529051987767585,0.240320427236315,0.5483870967741935,0.2640562248995984,0.3548387096774194,0.0666666666666666,0.2480620155038759,0.0625,0.3622047244094488,0.0,0.1764705882352941,2
1879,0.1666666666666669,0.0930232558139534,0.2612735100838432,0.4541284403669725,0.5126835781041388,0.5483870967741935,0.2640562248995984,0.4032258064516129,0.1333333333333333,0.9999999999999998,0.0999999999999999,0.0354330708661417,0.5,0.0,1
1886,0.1666666666666669,0.0775193798449612,0.2918649444822117,0.2737003058103975,0.1722296395193591,0.5483870967741935,0.2640562248995984,0.3548387096774194,0.0666666666666666,0.2480620155038759,0.0625,0.3779527559055118,0.0,0.1764705882352941,2
1911,0.1666666666666669,0.0,0.2053025152957172,0.6529051987767585,0.1361815754339119,0.5483870967741935,0.2640562248995984,0.3548387096774194,0.0666666666666666,0.2480620155038759,0.0625,0.3779527559055118,0.0,0.1764705882352941,2
1925,0.1666666666666669,0.0,0.2053025152957172,0.6529051987767585,0.130841121495327,0.5483870967741935,0.2640562248995984,0.3064516129032258,0.0666666666666666,0.2480620155038759,0.0625,0.3779527559055118,0.0,0.1764705882352941,2
