,observation_hour,speed,rpm,acceleration,throttle_position,engine_temperature,distance_travelled,engine_load_value,heart_rate,current_weather,visibility,precipitation,accidents_onsite,design_speed,accidents_time,risk_level,risk_level_train,risk_propagation_pred,risk_spreading_pred
47,18,0.0,594.0,0.0,12.9,93.0,0.0,26.7,66.0,6,8.0,2.2,9.0,70.0,0.0,2,-1,2,2
48,18,0.0,597.0,0.0,12.9,93.0,0.0,27.1,66.0,6,8.0,2.2,9.0,70.0,0.0,2,2,2,2
49,18,0.0,599.0,0.0,12.5,93.0,0.0,25.9,66.0,6,8.0,2.2,9.0,70.0,0.0,2,2,2,2
50,18,0.0,607.0,0.0,12.9,93.0,0.0,24.3,66.0,6,8.0,2.2,9.0,70.0,0.0,2,-1,2,2
51,18,0.0,602.0,0.0,12.9,93.0,0.0,24.3,66.0,6,8.0,2.2,9.0,70.0,0.0,2,-1,2,2
52,18,0.0,602.0,0.0,12.9,93.0,0.0,24.7,66.0,6,8.0,2.2,9.0,70.0,0.0,2,-1,2,2
53,18,0.0,608.0,0.0,12.9,93.0,0.0,24.7,66.0,6,8.0,2.2,9.0,70.0,0.0,2,-1,2,2
54,18,0.0,604.0,0.0,12.9,93.0,0.0,24.7,66.0,6,8.0,2.2,9.0,70.0,0.0,2,2,2,2
55,18,0.0,605.0,0.0,12.9,93.0,0.0,26.3,66.0,6,8.0,2.2,9.0,70.0,0.0,2,-1,2,2
56,18,0.0,601.0,0.0,12.9,93.0,0.0,25.9,66.0,6,8.0,2.2,9.0,70.0,0.0,2,-1,2,2
57,18,0.0,603.0,0.0,12.9,93.0,0.0,25.1,66.0,6,8.0,2.2,9.0,70.0,0.0,2,-1,2,2
58,18,0.0,605.0,0.0,12.9,93.0,0.0,25.1,66.0,6,8.0,2.2,9.0,70.0,0.0,2,-1,2,2
59,18,0.0,597.0,0.0,12.9,93.0,0.0,24.3,66.0,6,8.0,2.2,9.0,70.0,0.0,2,-1,2,2
60,18,0.0,602.0,0.0,12.9,93.0,0.0,24.7,66.0,6,8.0,2.2,9.0,70.0,0.0,2,-1,2,2
61,18,0.0,611.0,0.0,12.5,93.0,0.0,25.9,66.0,6,8.0,2.2,9.0,70.0,0.0,2,-1,2,2
62,18,0.0,606.0,0.0,12.5,93.0,0.0,25.1,69.0,6,8.0,2.2,9.0,70.0,0.0,2,-1,2,2
63,18,0.0,600.0,0.0,12.5,93.0,0.0,25.1,69.0,6,8.0,2.2,9.0,70.0,0.0,2,-1,2,2
64,18,0.0,605.0,0.0,12.5,93.0,0.0,25.5,69.0,6,8.0,2.2,9.0,70.0,0.0,2,-1,2,2
65,18,0.0,601.0,0.0,12.5,93.0,0.0,24.7,69.0,6,8.0,2.2,9.0,70.0,0.0,2,-1,2,2
66,18,0.0,603.0,0.0,12.5,93.0,0.0,24.7,69.0,6,8.0,2.2,9.0,70.0,0.0,2,-1,2,2
67,18,0.0,599.0,0.0,12.9,93.0,0.0,24.3,69.0,6,8.0,2.2,9.0,70.0,0.0,2,-1,2,2
68,18,0.0,609.0,0.0,12.9,93.0,0.0,24.3,69.0,6,8.0,2.2,9.0,70.0,0.0,2,-1,2,2
69,18,0.0,599.0,0.0,12.9,93.0,0.0,23.9,69.0,6,8.0,2.2,9.0,70.0,0.0,2,-1,2,2
